feature,importance
Stochastic_K,0.0036510406755003843
Bollinger_%b,0.002910136905728667
RSI,0.0026804822720735604
Stochastic_D,0.0020323793070166256
MACD_Signal,0.0013698868628263994
MACD_Hist,0.0012510647367912251
SMA_200,0.0009808952678663557
Bollinger_Width,0.0005493648301017776
SMA_50,0.00048635338154359996
ADX,0.0004455472607164604
MACD,0.00030894083414379734
return_lag_2,0.00026311481330200555
return_lag_1,0.00026166349782512995
Bollinger_High,0.0002512296416514881
return,0.00024115673167412688
SMA_20,0.00021651186273588874
EMA_20,0.0001769822082629534
Bollinger_Low,0.00017679337077164544
return_lag_5,3.179145449857662e-05
