feature,importance
RSI,0.09538056586982706
Stochastic_K,0.09523576838422187
return_lag_2,0.08859163100215181
MACD,0.0784952949258973
MACD_Signal,0.07826544957771407
return_lag_1,0.07543092189959097
MACD_Hist,0.06337185162207079
Bollinger_Width,0.05191299134535527
Bollinger_High,0.046536804611296695
Bollinger_%b,0.04156245313530833
Stochastic_D,0.039354029180052374
SMA_20,0.036024125003957075
Bollinger_Low,0.03323579695255967
SMA_200,0.03253529078127243
return,0.031855402427756856
EMA_20,0.03159516447128624
return_lag_5,0.028983889160438776
SMA_50,0.02671209310192326
ADX,0.024920476547319204
