feature,importance
MACD,0.022999876550060375
MACD_Signal,0.02160226124012873
MACD_Hist,0.006481687986109634
Stochastic_K,0.006201617479494903
Stochastic_D,0.0034377578334910575
EMA_20,0.002535549283188494
Bollinger_%b,0.0025053775355042235
return,0.001185599121125366
Bollinger_Low,0.0008250528055264791
SMA_20,0.000810014912022946
Bollinger_High,0.0007926197890930283
return_lag_2,0.00048028758533100874
Bollinger_Width,0.0002970624468760905
ADX,0.00024823546953640273
return_lag_5,0.00023036237032323889
return_lag_1,0.00016550142166739423
RSI,0.00010951752969311205
SMA_50,5.0521465615769613e-05
SMA_200,2.8320498369801983e-05
