feature,importance
SMA_50,0.015480518037637144
Stochastic_K,0.0061564157300824235
Stochastic_D,0.0053251713635462826
Bollinger_High,0.004569604746392742
SMA_20,0.004496478314030173
Bollinger_Low,0.004377039948921072
MACD_Signal,0.0038493759859286455
Bollinger_%b,0.0037198466284622204
MACD,0.002205901567729061
MACD_Hist,0.002104900064028428
EMA_20,0.0019419775573262983
RSI,0.0012254065596750759
SMA_200,0.0010706422751334765
return,0.0009382246312102329
Bollinger_Width,0.0006180811107053041
return_lag_1,0.0004390543897432229
ADX,0.0001881646203676458
return_lag_2,0.0001676011832615875
return_lag_5,6.1760981558519926e-06
