feature,importance
RSI,0.004337709528154719
Stochastic_K,0.003115324915355808
Stochastic_D,0.0025660153480380242
Bollinger_%b,0.0022370220384562768
MACD_Hist,0.0021282968491901366
SMA_200,0.001925698746650151
MACD_Signal,0.0016493332161128206
return,0.0008706430547467015
ADX,0.0007223739607290641
Bollinger_Width,0.0005725116678991296
Bollinger_High,0.00043914781544584364
SMA_50,0.00041875127494301993
SMA_20,0.00041274248457769884
Bollinger_Low,0.0003812068591667003
return_lag_2,0.00027477864598752415
MACD,0.0002654315767776791
EMA_20,0.00014145905564137508
return_lag_1,8.068077573578116e-05
return_lag_5,4.155242834825737e-05
