feature,importance
MACD,0.04791744511688211
MACD_Signal,0.046617325261214294
MACD_Hist,0.01447769958916173
EMA_20,0.006336840484493636
Stochastic_K,0.004708307741171892
Bollinger_%b,0.0036131225791116274
RSI,0.003026606774770238
Stochastic_D,0.0029395365737877274
Bollinger_Low,0.0019061910123897728
SMA_20,0.0018672979708823916
Bollinger_High,0.00182337079067091
SMA_200,0.0009086252635668157
SMA_50,0.0009030859305862984
Bollinger_Width,0.0006415676894535752
ADX,0.0004166798053641568
return,0.0004118314117234805
return_lag_2,0.000289976997412209
return_lag_1,0.00016540108743531222
return_lag_5,1.5281702853112925e-05
