feature,importance
Stochastic_K,0.0035705518464071904
Bollinger_%b,0.0018819254450794084
Stochastic_D,0.001480627183862407
return,0.0005124375251300624
return_lag_5,0.00022175732321321064
Bollinger_Width,0.0001859093395199686
MACD_Signal,0.00013753075431419503
return_lag_2,0.00013346606721746122
SMA_200,0.0001284641242012609
return_lag_1,0.0
RSI,0.0
SMA_20,0.0
SMA_50,0.0
Bollinger_High,0.0
ADX,0.0
MACD_Hist,0.0
MACD,0.0
EMA_20,0.0
Bollinger_Low,0.0
