feature,importance
MACD,0.047730606056983045
MACD_Signal,0.047057765053682254
EMA_20,0.021529711746532617
MACD_Hist,0.01536336847066249
Bollinger_Low,0.007288155392506439
SMA_20,0.0069954722239484604
Bollinger_High,0.0066986081279035
RSI,0.004428538550304562
Stochastic_K,0.0039962077835905664
Bollinger_%b,0.0037445173023938063
Stochastic_D,0.002828963778035946
SMA_200,0.0014079742582971712
SMA_50,0.0009760344012190269
Bollinger_Width,0.0008250817189643155
ADX,0.0005152890574988463
return_lag_2,0.0004869969827046112
return,0.0004783016675206866
return_lag_5,9.895454524557296e-05
return_lag_1,3.964001358888999e-05
