feature,importance
SMA_50,0.021989813402198362
Stochastic_D,0.0060087730296613144
Bollinger_High,0.0059450154020398984
SMA_20,0.005837430204962551
MACD_Signal,0.005770335743885367
Bollinger_Low,0.005670634908609855
Stochastic_K,0.005634595149460202
EMA_20,0.004525188837933255
Bollinger_%b,0.003639487505639262
MACD,0.002893173085612976
MACD_Hist,0.0025905732796002697
RSI,0.001967773076325876
SMA_200,0.0013898834595067434
return,0.001112961911456723
Bollinger_Width,0.000696695562293668
return_lag_1,0.0005082908467403487
return_lag_2,0.00042802672697521806
return_lag_5,0.0002824354720720423
ADX,0.00025027386691315473
