feature,importance
EMA_20,0.007149156770652018
Stochastic_K,0.006619319425361852
Stochastic_D,0.004417177585747232
SMA_50,0.002520277884019321
Bollinger_%b,0.0023030675001515996
Bollinger_High,0.0017347104177817265
SMA_20,0.0016545449212354477
Bollinger_Low,0.0015611904630859232
return,0.0013631619625149437
SMA_200,0.00047681555930910864
return_lag_1,0.0003811687369522001
MACD_Hist,0.0003767441244803355
return_lag_2,0.0003681828895144509
MACD_Signal,0.0002606437694883207
return_lag_5,0.0002517297056589198
Bollinger_Width,0.00021806639303490225
MACD,0.0001977289767121803
RSI,0.00018784140907779305
ADX,8.272950834994566e-05
