feature,importance
SMA_50,0.16745934583252342
ADX,0.09786577304395784
Bollinger_Low,0.08666711273826537
Bollinger_High,0.08032547031689716
SMA_20,0.07301071017356091
EMA_20,0.06890183338242441
SMA_200,0.06440397136390241
Stochastic_K,0.05842573002343556
MACD,0.051407553682404655
MACD_Hist,0.03680227728148575
MACD_Signal,0.03196925201724879
Stochastic_D,0.02803784469572828
return,0.027732113028821573
Bollinger_Width,0.02764362195596812
RSI,0.027202481601200174
return_lag_1,0.021370883002879894
return_lag_2,0.019635499963558338
return_lag_5,0.0182801185109375
Bollinger_%b,0.012858407384799849
