horizon,model,R2,RMSE,MAE,HitRate
1,Linear,0.05706046057652192,0.0046952533426445515,0.0033905822882456973,0.5675675675675675
1,Ridge,0.06699136585564225,0.004670463027246363,0.003366905557700363,0.5637065637065637
1,Lasso,0.05868825383698417,0.004691198892302567,0.0034016835217105376,0.5366795366795367
1,XGB,0.06770739521002278,0.0046686705301744805,0.003382520442207543,0.5212355212355212
1,ENet,0.07234132990579223,0.004657053327350091,0.0033848922935925687,0.555984555984556
1,RF,0.04316737208770982,0.004729716340581389,0.0033881741317808483,0.5328185328185329
2,Linear,-0.014287120028606992,0.006959813919256719,0.005117817952578506,0.528957528957529
2,Ridge,0.017753763990837168,0.006849003049770497,0.005028340709657983,0.5482625482625483
2,Lasso,-0.004927598914511222,0.006927628014767343,0.005037283070384468,0.4826254826254826
2,XGB,0.01956078799518257,0.0068427001443303395,0.004969024461286832,0.49034749034749037
2,ENet,-0.004927598914511222,0.006927628014767343,0.005037283070384468,0.4826254826254826
2,RF,0.0074937063659780145,0.006884680770454562,0.005005255037691597,0.4980694980694981
3,Linear,-0.047939538486043265,0.008538418461694267,0.006310433878558274,0.4826254826254826
3,Ridge,0.007086127675862142,0.008311226373996308,0.006125858207530986,0.5096525096525096
3,Lasso,-0.007790759389435742,0.008373258676771475,0.006072275747515737,0.4555984555984556
3,XGB,0.0009187899783987818,0.00833699839300459,0.006065996136404976,0.47104247104247104
3,ENet,-0.007790759389435742,0.008373258676771475,0.006072275747515737,0.4555984555984556
3,RF,-0.013128673812326852,0.008395404499031268,0.006105196505271417,0.43243243243243246
4,Linear,-0.09042389793336669,0.009827460366184902,0.0073629952023215334,0.4573643410852713
4,Ridge,-0.01703697343297339,0.009491000390958865,0.007039238570651443,0.5038759689922481
4,Lasso,-0.010566624768366673,0.00946076153663557,0.006883511156693918,0.46124031007751937
4,XGB,-0.008931436985689434,0.009453104255868138,0.006868811570691264,0.45348837209302323
4,ENet,-0.010566624768366673,0.00946076153663557,0.006883511156693918,0.46124031007751937
4,RF,-0.018190790402448753,0.009496382581303585,0.006906151723990186,0.437984496124031
5,Linear,-0.13309329386831403,0.011129802909399496,0.00832565280860473,0.437984496124031
5,Ridge,-0.05509406032053232,0.010739899767600217,0.007933016486463832,0.46511627906976744
5,Lasso,-0.015020059923448237,0.010533966959184774,0.007628663372945696,0.4573643410852713
5,XGB,-0.04368726504623899,0.010681686591319302,0.0077661012956250905,0.43410852713178294
5,ENet,-0.015020059923448237,0.010533966959184774,0.007628663372945696,0.4573643410852713
5,RF,-0.029354971119327278,0.010608090649560167,0.007696191088020035,0.4263565891472868
