feature,importance
Stochastic_K,0.0047751782250565105
Bollinger_%b,0.0030798328630142983
Stochastic_D,0.0030726784820892072
SMA_50,0.0012641112876330054
MACD,0.0008675816235098439
MACD_Hist,0.0008530232380329255
SMA_200,0.0007868980370759249
return,0.0004529551618428146
Bollinger_Width,0.0004308937692537337
return_lag_5,0.00037168854861404185
Bollinger_Low,0.00035706390747492547
SMA_20,0.00032272162790162695
Bollinger_High,0.0002817194267277496
return_lag_2,0.0002795024087951615
RSI,0.0002561462865782424
MACD_Signal,8.070873716577089e-05
return_lag_1,7.570108378859747e-05
ADX,6.996080832180333e-05
EMA_20,6.081349241163992e-05
