feature,importance
MACD_Hist,0.09480325635723198
MACD_Signal,0.09175194338322842
Bollinger_High,0.08978309968765098
SMA_200,0.08636342067427566
MACD,0.07618378500525984
SMA_20,0.06938234828965796
SMA_50,0.062142137132431934
Bollinger_Width,0.060520603311723285
EMA_20,0.057377318092884266
Stochastic_K,0.05382171125038725
Bollinger_Low,0.05198020135166064
RSI,0.047350380781934404
ADX,0.04045361964682473
Bollinger_%b,0.03677325227109503
Stochastic_D,0.03290345469387257
return_lag_1,0.014716626079893973
return,0.011585138788432278
return_lag_2,0.011209086304096508
return_lag_5,0.010898616897458293
