feature,importance
Stochastic_K,0.0050854081571331654
Stochastic_D,0.0029402702960140818
Bollinger_%b,0.002099322002498958
return,0.0009012651698647947
SMA_200,0.0004497088575056867
MACD_Signal,0.0003763373463115077
MACD,0.0003599256089219714
return_lag_2,0.00029889065702284916
RSI,0.0002938262083915845
SMA_50,0.0002934426153794186
MACD_Hist,0.0002801616875425958
return_lag_5,0.00026515657888042066
Bollinger_Width,0.0002535765059156743
return_lag_1,0.00018514640265416933
ADX,6.185159624087005e-05
Bollinger_High,3.454331032309128e-05
Bollinger_Low,2.4239451449601395e-05
EMA_20,1.5153502215700354e-05
SMA_20,4.076636038183423e-06
