feature,importance
Stochastic_K,0.0050142910213216915
Stochastic_D,0.002440921390948461
Bollinger_%b,0.0021575091153368206
return,0.0009268639531793177
SMA_50,0.000553444096386655
MACD,0.00046661297499175794
return_lag_2,0.0004470162034323852
MACD_Hist,0.00036143866757081086
MACD_Signal,0.0003401097737555696
Bollinger_Width,0.00024418119401124544
return_lag_5,0.00024088230187623705
ADX,0.00024014849587350697
Bollinger_High,0.00015063193917187138
SMA_20,0.0001373775681502421
Bollinger_Low,0.00012193246794273218
EMA_20,0.00011980766897386587
SMA_200,7.039983629927868e-05
RSI,6.761580410268462e-05
return_lag_1,3.700231300855749e-05
