feature,importance
SMA_50,0.18579933730955503
Stochastic_K,0.1620098271214023
EMA_20,0.062391361867344355
Bollinger_High,0.05469637358132302
return,0.05409371093285221
Bollinger_Low,0.0504001833616867
ADX,0.04257870271999157
MACD_Hist,0.04194282431528326
Bollinger_%b,0.04059638783750857
SMA_20,0.03874436371429449
return_lag_2,0.0385898677454816
return_lag_1,0.03665768273758266
RSI,0.03610153762726005
MACD,0.032894768351746456
SMA_200,0.030533308597032377
Stochastic_D,0.029533310847630116
return_lag_5,0.025457245028493954
Bollinger_Width,0.020289136606656787
MACD_Signal,0.0166900696968747
