feature,importance
Bollinger_Low,0.07339322
RSI,0.06873807
Bollinger_High,0.068134926
MACD,0.06690846
MACD_Signal,0.06680427
Stochastic_K,0.061208915
EMA_20,0.05961612
Bollinger_%b,0.057489444
return_lag_2,0.056485236
return_lag_1,0.055642474
Bollinger_Width,0.055143174
MACD_Hist,0.052677464
ADX,0.04548821
SMA_200,0.04219285
return_lag_5,0.04207163
Stochastic_D,0.03876976
return,0.036890488
SMA_50,0.031467587
SMA_20,0.020877644
