feature,importance
Stochastic_K,0.004639926342590053
Bollinger_%b,0.002796201360561585
Stochastic_D,0.002412948461457334
RSI,0.0013074785628947958
MACD_Signal,0.0008818259354742555
MACD_Hist,0.0007758676427428586
return,0.0005831501730704129
SMA_50,0.000576536868923237
SMA_200,0.0005045282130723194
MACD,0.00046474137144018684
return_lag_2,0.0004385988324072151
Bollinger_Width,0.00043124524049991373
ADX,0.00035205311314569546
return_lag_1,0.00031576089710522143
Bollinger_High,0.00020464713430863948
SMA_20,0.00017783283515437665
EMA_20,0.00016425489136114631
return_lag_5,0.00015366021677385675
Bollinger_Low,0.00014710784787837772
