feature,importance
Stochastic_D,0.004486449604710561
Stochastic_K,0.004421385137803082
Bollinger_%b,0.0034014521863578724
SMA_50,0.002996296195095681
MACD_Hist,0.0017110865338631088
MACD,0.00169804996075205
RSI,0.0015937349088783958
SMA_200,0.0013809268028235435
MACD_Signal,0.0011721202869765602
Bollinger_Low,0.0009387570124358881
SMA_20,0.000908152318225549
Bollinger_High,0.0008639366283388625
Bollinger_Width,0.0006177182697668454
return_lag_2,0.0006028264323313243
return,0.0005703504965522843
return_lag_5,0.00015074721060256657
return_lag_1,0.00011644595222268807
EMA_20,0.00011447653224621323
ADX,0.0001021993054623052
