feature,importance
Stochastic_K,0.10401001267938349
RSI,0.08584597972283206
MACD,0.08128240016190957
MACD_Hist,0.07984349949911582
MACD_Signal,0.07452240302317108
Bollinger_High,0.05703880213971723
Bollinger_Width,0.05580702983694926
Bollinger_%b,0.05125318713482293
return_lag_1,0.05001415948151577
return_lag_2,0.04938609974268274
return,0.04410220433627718
SMA_200,0.043617395455200686
Stochastic_D,0.0418127607338441
SMA_20,0.04015438706940444
Bollinger_Low,0.03635459147108574
EMA_20,0.032354361247960386
SMA_50,0.02948957222024183
ADX,0.024430535085530766
return_lag_5,0.018680618958355
