feature,importance
MACD_Hist,0.09581199711864509
MACD_Signal,0.07821080834462052
MACD,0.0774365364742836
Bollinger_High,0.0740831711726998
RSI,0.07258893540258314
Stochastic_K,0.07006225647669533
Bollinger_Width,0.06800997006528406
SMA_200,0.06599980199850715
SMA_20,0.056386986642254826
EMA_20,0.04928244648390761
Bollinger_Low,0.044769862751166054
Stochastic_D,0.044047604658462684
Bollinger_%b,0.03955237476482571
SMA_50,0.037844555408317944
return,0.03286061342739205
ADX,0.030111692301711828
return_lag_1,0.026090396429402675
return_lag_2,0.02109896240406278
return_lag_5,0.01575102767517701
