feature,importance
SMA_50,0.008818870072188326
Stochastic_K,0.006095516962053093
Stochastic_D,0.0043874255170832455
EMA_20,0.004067049353584286
Bollinger_%b,0.0033897097375041457
MACD_Signal,0.0017321376858327265
SMA_20,0.001506779877589337
Bollinger_High,0.0015015594984064983
Bollinger_Low,0.00149434154249419
MACD,0.001272709952356892
MACD_Hist,0.0012551266621627
return,0.0008718460465865544
SMA_200,0.0008104988103000591
Bollinger_Width,0.0004554556500706613
RSI,0.00042893641699835494
return_lag_5,0.0003188306361816414
return_lag_2,0.00025623938176395786
return_lag_1,0.00015760622744025082
ADX,0.00013026390557353005
