feature,importance
Bollinger_Low,0.089026645
Bollinger_High,0.0887165
SMA_50,0.08691268
EMA_20,0.08130786
SMA_200,0.075983144
ADX,0.07397786
Stochastic_K,0.06910345
MACD,0.06313257
Bollinger_Width,0.060157165
RSI,0.053777087
return_lag_2,0.05059354
MACD_Signal,0.043147128
MACD_Hist,0.040573854
Bollinger_%b,0.03277401
SMA_20,0.03251184
Stochastic_D,0.024361636
return,0.014261016
return_lag_1,0.01011883
return_lag_5,0.009563222
