feature,importance
MACD,0.043827098973280056
MACD_Signal,0.043817081709524815
EMA_20,0.03876538167376869
MACD_Hist,0.015298805198988134
Bollinger_Low,0.013436084736482985
SMA_20,0.01284151802887794
Bollinger_High,0.01224501810546859
RSI,0.005261892038091755
Stochastic_K,0.004186345302824761
Stochastic_D,0.003648934587826731
Bollinger_%b,0.0030421258426446903
SMA_200,0.001980620171729583
return,0.0010874131036078
SMA_50,0.001082241347323755
Bollinger_Width,0.0009145344767887875
ADX,0.000676736221279795
return_lag_2,0.0003977795466757876
return_lag_1,2.650159883911085e-05
return_lag_5,1.3476154600028628e-05
