feature,importance
SMA_50,0.16086235219121914
Stochastic_K,0.09182881316373255
ADX,0.07882781581288224
Bollinger_Low,0.07780794438712627
SMA_20,0.07034089900773426
Bollinger_High,0.06747126321062213
EMA_20,0.06254844920631401
SMA_200,0.050738541231322695
MACD,0.046006357729869475
MACD_Hist,0.04072167931554364
RSI,0.03926058526344003
return,0.03733990371955599
Stochastic_D,0.031834726663917436
Bollinger_Width,0.028840484774289618
return_lag_2,0.028182156782537313
MACD_Signal,0.026140352085182356
return_lag_5,0.02246339702488468
Bollinger_%b,0.020731244688687443
return_lag_1,0.01805303374113871
