feature,importance
SMA_50,0.1720344287415706
ADX,0.10417053171119413
Bollinger_High,0.08357023817809642
SMA_200,0.07934259610602228
Bollinger_Low,0.07565588660858341
SMA_20,0.0751783301396346
EMA_20,0.06316676272742047
Stochastic_K,0.05375198613757144
MACD,0.042192478369548744
MACD_Hist,0.03435862800591443
MACD_Signal,0.03398948984022499
return,0.030746987713177694
return_lag_2,0.03024206749209004
RSI,0.02775780668869432
Bollinger_Width,0.026642257717722457
Stochastic_D,0.026248547866950835
return_lag_1,0.016607528573080507
return_lag_5,0.013114202991533387
Bollinger_%b,0.011229244390969291
