feature,importance
Stochastic_K,0.00485057573838372
Stochastic_D,0.003875038274420235
Bollinger_%b,0.0034298346793726225
SMA_50,0.0022288442872095355
MACD_Hist,0.0013891073939136466
MACD,0.0012921548567246773
SMA_200,0.0010567338926036063
RSI,0.000948627058879815
Bollinger_Low,0.0006975845325834419
SMA_20,0.0006642458575777599
MACD_Signal,0.0006299354929180578
Bollinger_High,0.0006200996444184038
Bollinger_Width,0.0005504647727101869
return,0.0004402652804028721
return_lag_2,0.0002825697113193005
EMA_20,0.00011811925684827076
return_lag_1,0.00010769132165001597
return_lag_5,9.313334019586241e-05
ADX,8.257809843891961e-05
